id,EAP,HPL,MWS
id02310,0.08586822,0.014384376,0.89974743
id24541,0.9966543,0.002668568,0.0006771647
id00134,0.06314618,0.9337431,0.0031107496
id27757,0.6387367,0.35402662,0.0072366646
id04081,0.9559479,0.025359076,0.018693017
id27337,0.8448195,0.14250927,0.012671216
id24265,0.73210007,0.21221739,0.05568254
id25917,0.017373206,0.07803174,0.9045951
id04951,0.98923755,0.009404642,0.001357745
id14549,0.8095539,0.08175596,0.10869011
id22505,0.12368001,0.049097285,0.8272227
id24002,0.0010334372,0.9988368,0.00012972068
id18982,0.17796531,0.70251507,0.119519606
id15181,0.0020225025,0.9972434,0.000734068
id21888,0.6589215,0.15013334,0.19094518
id12035,0.0043297154,0.0011895486,0.9944807
id17991,0.22956733,0.027364135,0.7430686
id10707,0.9991497,0.00056908035,0.0002812143
id07101,0.31761974,0.21334958,0.46903068
id00345,0.02424599,0.9644778,0.011276274
id05912,0.9321649,0.048000406,0.01983465
id13443,0.9486016,0.015583695,0.035814684
id09248,0.34357974,0.09591054,0.56050974
id17542,0.04377684,0.9467752,0.009448016
id06995,0.02874866,0.00049921,0.9707521
id25159,0.6897997,0.03741891,0.27278134
id25729,0.35663036,0.5317361,0.11163357
id26949,0.9400439,0.049267087,0.010689017
id27191,0.58995014,0.046350602,0.36369926
id07668,0.20206596,0.002245365,0.7956886
id02230,0.27649918,0.19619752,0.52730334
id15553,0.99698323,0.0008581841,0.0021585284
id25688,0.0010299993,0.9981103,0.00085971487
id17545,0.98115426,0.007989308,0.0108564785
id13929,0.5066414,0.37908536,0.114273235
id12880,0.10047591,0.80186814,0.097655974
id19282,0.5691921,0.10864789,0.32215995
id14690,0.07666855,0.005537521,0.9177939
id17975,0.0020807749,0.99543285,0.0024863614
id08037,0.8256175,0.0066154664,0.16776705
id15412,0.2605081,0.026500946,0.71299094
id25032,0.5320498,0.05665858,0.41129163
id27165,0.9977324,0.0013336074,0.00093402277
id03327,0.79322165,0.1504029,0.056375436
id18515,0.97088236,0.0051726415,0.023944989
id21003,0.0990742,0.040300272,0.8606255
id23855,0.013299966,0.88493437,0.1017657
id20724,0.80955684,0.09232198,0.09812117
id13303,0.4221712,0.15059502,0.42723373
id16521,0.008152569,0.12086559,0.8709818
id20775,0.99870825,0.00044351886,0.0008482359
id13029,0.9980774,0.0012040241,0.000718628
id14660,0.62643147,0.33893204,0.034636475
id11028,0.008794953,0.0024019505,0.9888031
id14180,0.929783,0.060803317,0.009413765
id25860,0.9990169,0.00062365824,0.00035950562
id11910,0.48557216,0.027849387,0.4865784
id08065,0.3535786,0.073200755,0.5732206
id22674,0.03924411,0.0020109161,0.95874494
id25018,0.19691278,0.041607756,0.7614795
id10892,0.0015035643,0.998187,0.00030938096
id10217,0.018011592,0.9813649,0.0006235528
id12996,0.28167358,0.33072513,0.3876013
id18262,0.5253731,0.2535928,0.22103412
id08606,0.000917624,0.9987649,0.00031750122
id17233,0.84872186,0.04389825,0.107379906
id00101,0.5971969,0.17463519,0.22816794
id12225,0.90318346,0.06321472,0.033601798
id01364,0.00418587,0.9923524,0.0034616701
id24973,0.6973198,0.046811573,0.25586864
id25363,0.7982117,0.0024716116,0.19931667
id10061,0.6232883,0.037416898,0.33929482
id17673,0.0567901,0.92624027,0.016969679
id13249,0.6394811,0.040836044,0.3196828
id10107,0.006020482,0.0017905388,0.99218905
id04403,0.8722679,0.0021400542,0.12559208
id25728,0.8616175,0.0192533,0.11912922
id16184,0.46180403,0.0431861,0.49500984
id03438,0.0015466205,0.0004403876,0.998013
id22923,0.05756783,0.9395032,0.0029290006
id08610,0.9853919,0.0016279671,0.012980078
id25355,0.10409375,0.020481097,0.8754251
id16916,0.3773119,0.58804077,0.03464737
id12793,0.11393304,0.8748925,0.0111745335
id11859,0.34617093,0.06723652,0.5865925
id02434,0.99865085,0.00097056956,0.0003785763
id27703,0.010272721,0.002883825,0.9868435
id25212,0.033409506,0.96388876,0.0027017565
id11308,0.19480446,0.12050354,0.68469197
id26094,0.7732023,0.17713028,0.049667407
id22080,0.8696133,0.11957267,0.01081402
id03545,0.9869197,0.011482407,0.0015978807
id23725,0.013492399,0.00893077,0.9775768
id12009,0.65825844,0.22552022,0.11622132
id24241,0.47030836,0.077582225,0.45210946
id03596,0.014939204,0.9836325,0.0014282181
id10749,0.03922922,0.95252156,0.008249238
id22794,0.008824371,0.0028345005,0.98834115
id15482,0.26174855,0.60817724,0.13007423
id04833,0.7395987,0.22564897,0.034752373
id00397,0.005319163,0.0004500536,0.99423075
id14691,0.0068441913,0.0044728927,0.9886829
id05193,0.113838546,0.0088615175,0.87729996
id19541,0.9849451,0.0047350796,0.010319782
id22166,0.001587984,0.0002664454,0.9981456
id20744,0.007496347,0.002515636,0.989988
id10392,0.003832557,0.00056832336,0.99559915
id00770,0.8770945,0.10378173,0.01912373
id06018,0.5362416,0.41205186,0.05170653
id15678,0.115733616,0.0056563155,0.8786101
id08305,0.96151435,0.03074046,0.00774515
id08903,0.49013475,0.09863003,0.4112352
id14752,0.09077117,0.9042544,0.00497444
id12468,0.0036988147,0.9957528,0.0005484135
id05085,0.21716397,0.74475145,0.03808457
id21993,0.08924263,0.0029742797,0.90778303
id15503,0.9486525,0.044084538,0.0072629307
id03021,0.0023289006,0.99734926,0.00032185708
id16123,0.9940951,0.0055495026,0.00035532954
id19383,0.9755955,0.020283226,0.004121296
id04186,0.9983254,0.0009708184,0.0007038137
id17954,0.006898578,0.0005654627,0.99253595
id12030,0.48887038,0.016297184,0.49483243
id13020,0.6806812,0.31014994,0.009168821
id25327,0.017142769,0.30393812,0.67891914
id16344,0.23691785,0.054157194,0.70892495
id12303,0.2224817,0.6482293,0.12928899
id15017,0.9576533,0.040960155,0.0013865101
id22308,0.46859068,0.11371822,0.41769108
id06536,0.0025249417,0.001181373,0.9962937
id19797,0.049803387,0.91801167,0.032184985
id06332,0.46675283,0.38013932,0.15310787
id22941,0.39009106,0.11292801,0.49698088
id13547,0.028696284,0.011921073,0.95938265
id06928,0.001784218,0.0005586758,0.99765706
id12521,0.33198124,0.64607894,0.021939829
id25716,0.7216852,0.020794114,0.25752068
id27116,0.0018678887,0.0006594115,0.9974727
id19941,0.0035594222,0.98788583,0.008554732
id05711,0.0018092378,0.0006841677,0.9975067
id02097,0.0068486203,0.009175642,0.98397577
id03563,0.0029967215,0.9966273,0.0003760064
id02295,0.5394537,0.328775,0.1317713
id08179,0.99892837,0.00047303922,0.00059856754
id05332,0.043504637,0.89026064,0.06623478
id15697,0.5844036,0.046805896,0.36879057
id17026,0.1870939,0.017265797,0.7956403
id04243,0.95812744,0.022401344,0.019471155
id13175,0.9977896,0.0018979518,0.0003124023
id05387,0.9713858,0.0054194117,0.023194812
id19989,0.94365966,0.036271,0.020069288
id25173,0.36105567,0.115289085,0.52365524
id08925,0.0066746282,0.9918126,0.0015127698
id03034,0.01209778,0.975837,0.012065214
id13272,0.00061957916,0.999148,0.00023243095
id07956,0.94506705,0.019220142,0.03571278
id02648,0.02852283,0.008037345,0.9634398
id01778,0.21133536,0.012355128,0.7763095
id12846,0.0028430892,0.0014626248,0.9956943
id19001,0.19352973,0.0485597,0.75791055
id05763,0.85337245,0.05578412,0.09084341
id15590,0.0018342728,0.00062587025,0.9975399
id04912,0.5065847,0.22405809,0.26935717
id21201,0.9243228,0.03820244,0.037474845
id13215,0.97812873,0.011997491,0.009873842
id15612,0.1174919,0.85347044,0.029037703
id18501,0.054048214,0.021952765,0.923999
id07223,0.42185256,0.4123194,0.16582808
id06707,0.4348154,0.4590927,0.10609194
id05238,0.00032016248,0.9995827,9.711191e-05
id00935,0.038822353,0.11315836,0.84801924
id00110,0.93682873,0.01571874,0.04745254
id17476,0.9360179,0.032299176,0.03168291
id15170,0.9959221,0.0033561825,0.00072172907
id13397,0.5587479,0.1471047,0.29414743
id24283,0.20994078,0.22500046,0.56505877
id15234,0.8988069,0.08628311,0.014909956
id16884,0.3786022,0.55398023,0.067417555
id07831,0.16676049,0.65893775,0.17430179
id16038,0.9074289,0.06923453,0.023336494
id03629,0.83436143,0.07444447,0.0911941
id21019,0.85676205,0.08265434,0.06058357
id21835,0.25744176,0.13288647,0.6096718
id04480,0.000935873,0.9982942,0.00076999154
id20838,0.25753176,0.64845556,0.0940127
id24195,0.526791,0.13021876,0.34299028
id05448,0.818324,0.16447914,0.017196827
id15957,0.063640505,0.93072605,0.005633479
id19956,0.015356251,0.0021008942,0.9825429
id15104,0.012786379,0.16137739,0.8258362
id17559,0.74925846,0.16843125,0.08231031
id16839,0.20867133,0.19644505,0.59488356
id14493,0.65314525,0.06447228,0.2823825
id08833,0.67290884,0.095516756,0.23157442
id15723,0.43540233,0.085176356,0.4794213
id02716,0.99144393,0.0068079946,0.0017480308
id06689,0.002256176,0.9957973,0.0019465449
id18837,0.5987956,0.06879457,0.3324098
